SYMBOL,NAME,FILE NAME
MMM,3M,3M
ABT,Abbott Laboratories,Abbot
ABBV,Abbvie Inc,AbbVie
ACN,Accenture Plc,Accenture
GOOGL,Alphabet Cl A ,Alphabet
MO,Altria Group,Altria
AMZN,Amazon.Com Inc,Amazon
AEP,American Electric Power,AmericanElectricPower
AXP,American Express Company,AmericanExpress
AIG,American International Group,AmericanInternationalGroup
AMGN,Amgen,Amgen
AAPL,Apple Inc,Apple
T,AT&T Inc,AT&T
BAC,Bank of America Corp,BankOfAmerica
BK,Bank of New York Mellon Corp,BankOfNewYorkMellon
BAX,Baxter International Inc,BaxterInternational
BRK.A,Berkshire Hathaway Inc. Class A,BerkshireHathaway
BIIB,Biogen Inc Cmn,Biogen
BA,Boeing Company,Boeing
BMY,Bristol-Myers Squibb Company,Bristol-MyersSquibb
AVGO,Broadcom Inc,Broadcom
COF,Capital One Financial Corp,CapitalOne
CAT,Caterpillar Inc,Caterpillar
CVX,Chevron Corp,Chevron
CSCO,Cisco Systems Inc,Cisco
C,Citigroup Inc,Citigroup
KO,Coca-Cola Co,Coca-Cola
CL,Colgate-Palmolive Company,Colgate-Palmolive
CMCSA,Comcast Corp A,ComcastCorp
COP,ConocoPhillips,ConocoPhillips
COST,Costco Wholesale,Costco
CVS,CVS Corp,CVS
DVN,Devon Energy Corp,DevonEnergyCorp
DIS,Walt Disney Company,Disney
DOW,Dow Chemical Company,Dow
EBAY,eBay Inc,Ebay
LLY,Eli Lilly And Co,EliLilly
EMR,Emerson Electric Co,EmersonElectric
EXC,Exelon Corporation,ExelonCorp
XOM,Exxon Mobil Corporation,ExxonMobil
FB,Facebook,Facebook
FDX,FedEx Corporation,FedEx
F,Ford Motor Company,Ford
FOX,Fox Corp,FoxCorp
FCX,Freeport-McMoRan Inc,Freeport-McMoRan
GD,General Dynamics Corp,GeneralDynamics
GE,General Electric Company,GeneralElectric
GM,General Motors Company,GeneralMotor
GILD,Gilead Sciences Inc,GileadSciences
GS,Goldman Sachs Group,GoldmanSachs
HAL,Halliburton Company,Halliburton
HD,Home Depot,HomeDepot
HON,Honeywell International Inc,Honeywell
HPQ,HP Inc,HP
IBM,International Business Machines,IBM
INTC,Intel Corp,Intel
JNJ,Johnson & Johnson,Johnson&Johnson
JPM,JP Morgan Chase & Co,JPMorganChase
LIN,Linde PLC,Linde
LMT,Lockheed Martin Corp,LockheedMartin
LOW,Lowe's Companies,Lowe'sCompanies
MA,Mastercard Inc,MasterCard
MCD,McDonald's Corp,McDonalds
MDT,Medtronic Inc,Medtronic
MRK,Merck & Co,Merck
MET,Metlife Inc,MetLife
MSFT,Microsoft Corp,Microsoft
MDLZ,Mondelez Intl,Mondelez
MS,Morgan Stanley,MorganStanley
NFLX,Netflix Inc,Netlifx
NKE,Nike Inc,Nike
NSC,Norfolk Southern Corp,NorfolkSouthern
ORCL,Oracle Corp,Oracle
PEP,Pepsico Inc,PepsiCo
PFE,Pfizer Inc,Pfizer
PM,Philip Morris International Inc,PhilipMorris
PG,Procter & Gamble Company,Proctor&Gamble
QCOM,Qualcomm Inc,QUALCOMM
RTX,Raytheon Company,RaytheonTechnologies
SPG,Simon Property Group,SimonPropertyGroup
SO,Southern Company,SouthernCo
SBUX,Starbucks Corp,Starbuck
TMUS,T-Mobile Us Inc,T-Mobile
TGT,Target Corp,Target
TSLA,Tesla Inc,Tesla
TXN,Texas Instruments,TexasInstruments
TMO,Thermo Fisher Scientific Inc,ThermoFisherScientific
UNP,Union Pacific Corp,UnionPacific
UNH,Unitedhealth Group Inc,UnitedHealth
UPS,United Parcel Service,UPS
USB,U.S. Bancorp,USBancorp
VZ,Verizon Communications Inc,Verizon
V,Visa Inc,Visa
WBA,Walgreens Boots Alliance Inc,Walgreens
WMT,Walmart Inc,Walmart
WFC,Wells Fargo & Company,WellsFargo
